,Mun_Ori,Mun_Des,O_long,O_lat,D_long,D_lat,Lat_pueblo_O,Long_pueblo_O,Lat_pueblo_D,Long_pueblo_D
33,Ordizia,Lasarte-Oria,-2.172013363473536,43.057302577966055,-2.021995143684293,43.26858985891135,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
34,Ordizia,Lasarte-Oria,-2.179236456598344,43.05368939552898,-2.010389046749947,43.27270424322009,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
35,Ordizia,Lasarte-Oria,-2.1669156024122302,43.05508164103368,-2.006193554316124,43.27070478081426,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
36,Ordizia,Lasarte-Oria,-2.1792259892944754,43.05028077019748,-2.0203966744206747,43.2695943051941,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
37,Ordizia,Lasarte-Oria,-2.184077332486524,43.04718538345176,-2.020378847894137,43.27348137639828,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
38,Ordizia,Lasarte-Oria,-2.17903007659995,43.05188728552116,-2.015108881460552,43.26318372329545,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
39,Ordizia,Lasarte-Oria,-2.184077332486524,43.04718538345176,-2.0214939063528217,43.27169997528196,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
40,Ordizia,Lasarte-Oria,-2.184600164316043,43.047187323950446,-2.0187201626143234,43.27348878970517,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
41,Ordizia,Lasarte-Oria,-2.1792259892944754,43.05028077019748,-2.022060532289032,43.26924830156904,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
42,Ordizia,Lasarte-Oria,-2.172013363473536,43.057302577966055,-2.018564847968485,43.26877559518463,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
43,Ordizia,Lasarte-Oria,-2.1629514969295105,43.05217489822513,-2.020921610184889,43.26553142356534,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
44,Ordizia,Lasarte-Oria,-2.1833417272808804,43.053814803864746,-2.0214093490807463,43.27050104731234,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
45,Ordizia,Lasarte-Oria,-2.1828594658664198,43.04733292112908,-2.021995143684293,43.26858985891135,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
46,Ordizia,Lasarte-Oria,-2.178713604158748,43.05491665713262,-2.0193379338017583,43.26624455091804,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
47,Ordizia,Lasarte-Oria,-2.1669156024122302,43.05508164103368,-2.0193720731089355,43.27018358103257,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
48,Ordizia,Lasarte-Oria,-2.184077332486524,43.04718538345176,-2.020943595268279,43.270147066725045,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
35569,Eibar,Donostia/San Sebastian,-2.471222723519968,43.18135605013112,-1.9638624858723968,43.316340574446855,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35570,Eibar,Donostia/San Sebastian,-2.457173644463194,43.1893093713656,-1.981447772022507,43.31545185423616,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35571,Eibar,Donostia/San Sebastian,-2.472697394711252,43.185196522164055,-2.009118131284665,43.3023640357097,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35572,Eibar,Donostia/San Sebastian,-2.4756737548132453,43.18483504775039,-1.984268712064,43.32561107973152,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35573,Eibar,Donostia/San Sebastian,-2.472704228896611,43.18430514178805,-2.0085308985753016,43.31081820702384,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35574,Eibar,Donostia/San Sebastian,-2.467914437209558,43.18671394046397,-1.9971300158271277,43.28538412294351,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
