Referencia,Destinos,Porcentajes,Superficie Total,Mun
3968086,['Solar'],[100.0],[2850],55
3968087,"['Garaje Cerrado', 'Vivienda', 'Trastero']","[21.31, 54.3, 24.4]","[124, 316, 142]",55
3968088,"['Local Comercial', 'Vivienda', 'Trastero']","[45.77, 20.9, 33.33]","[184, 84, 134]",55
3968089,"['Vivienda', 'Trastero', 'Agropecuario']","[66.93, 23.62, 9.45]","[170, 60, 24]",55
3968090,"['Vivienda', 'Almacen', 'Garaje Cerrado']","[91.87, 3.66, 4.47]","[226, 9, 11]",55
3968091,"['Vivienda', 'Trastero']","[76.39, 23.61]","[178, 55]",55
3968092,"['Duplex', 'Plaza Parking', 'Trastero']","[82.13, 14.45, 3.42]","[216, 38, 9]",55
3968093,"['Vivienda', 'Agropecuario', 'Trastero', 'Garaje Cerrado', 'Deposito']","[47.38, 18.32, 22.91, 9.29, 2.09]","[362, 140, 175, 71, 16]",55
3968094,"['Industrial', 'Oficina']","[75.37, 24.63]","[3623, 1184]",55
3968095,['Solar'],[100.0],[190],55
3968096,['Solar'],[100.0],[44],55
3968097,"['Vivienda', 'Trastero', 'Agropecuario', 'Industrial']","[55.19, 14.15, 29.72, 0.94]","[234, 60, 126, 4]",55
3968098,"['Vivienda', 'Trastero']","[89.75, 10.25]","[438, 50]",55
3968099,"['Vivienda', 'Trastero', 'Agropecuario']","[85.96, 5.14, 8.9]","[502, 30, 52]",55
3968100,"['Trastero', 'Vivienda']","[68.0, 32.0]","[187, 88]",55
3968101,['Jardin'],[100.0],[164],55
3969001,"['Trastero', 'Hosteleria', 'Vivienda', 'Almacen']","[42.36, 8.06, 16.94, 32.64]","[410, 78, 164, 316]",55
3969002,"['Vivienda', 'Trastero']","[82.26, 17.74]","[561, 121]",55
3969003,"['Hosteleria', 'Trastero']","[65.8, 34.2]","[227, 118]",55
3969004,"['Almacen', 'Vivienda', 'Garaje Cerrado', 'Trastero']","[22.72, 37.67, 8.54, 31.07]","[117, 194, 44, 160]",55
3969005,"['Hosteleria', 'Vivienda', 'Trastero', 'Almacen', 'Deportivo']","[18.45, 13.66, 8.51, 33.98, 25.39]","[258, 191, 119, 475, 355]",55
3969006,"['Agropecuario', 'Vivienda', 'Trastero', 'Garaje Cerrado']","[56.58, 24.32, 16.22, 2.88]","[314, 135, 90, 16]",55
3969007,"['Agropecuario', 'Vivienda', 'Trastero']","[30.0, 54.0, 16.0]","[150, 270, 80]",55
3969008,['Vivienda'],[100.0],[51],55
3969009,['Solar'],[100.0],[506],55
3969010,"['Hosteleria', 'Vivienda']","[87.29, 12.71]","[1023, 149]",55
3969011,"['Trastero', 'Vivienda']","[65.38, 34.62]","[340, 180]",55
3969012,['Vivienda'],[100.0],[176],55
3969013,"['Vivienda', 'Garaje Cerrado']","[74.38, 25.62]","[151, 52]",55
3969014,"['Vivienda', 'Garaje Cerrado']","[80.34, 19.66]","[188, 46]",55
3969015,"['Vivienda', 'Garaje Cerrado']","[73.88, 26.12]","[198, 70]",55
3969016,"['Vivienda', 'Garaje Cerrado']","[78.79, 21.21]","[208, 56]",55
3969017,"['Vivienda', 'Garaje Cerrado']","[86.9, 13.1]","[126, 19]",55
3969018,"['Vivienda', 'Garaje Cerrado']","[84.54, 15.46]","[175, 32]",55
3969019,"['Vivienda', 'Almacen', 'Garaje Cerrado']","[75.95, 8.86, 15.19]","[180, 21, 36]",55
3969020,"['Trastero', 'Garaje Cerrado', 'Vivienda']","[58.81, 10.92, 30.27]","[377, 70, 194]",55
3969021,"['Vivienda', 'Trastero']","[59.16, 40.84]","[239, 165]",55
3969022,['Solar'],[100.0],[584],55
3969023,"['Vivienda', 'Garaje Cerrado']","[79.7, 20.3]","[212, 54]",55
3969024,"['Vivienda', 'Almacen', 'Garaje Cerrado']","[45.82, 42.65, 11.53]","[159, 148, 40]",55
3969025,['Jardin'],[100.0],[200],55
3969026,['Deportivo'],[100.0],[503],55
3969027,"['Garaje Cerrado', 'Vivienda']","[33.64, 66.36]","[219, 432]",55
3969028,"['Garaje Cerrado', 'Vivienda', 'Agropecuario']","[18.76, 23.45, 57.79]","[124, 155, 382]",55
3969029,['Vivienda'],[100.0],[169],55
3969030,"['Vivienda', 'Garaje Cerrado']","[82.52, 17.48]","[203, 43]",55
3969031,"['Deportivo', 'Educativo']","[22.22, 77.78]","[92, 322]",55
3969032,['Trastero'],[100.0],[92],55
3969033,"['Trastero', 'Vivienda', 'Industrial']","[47.19, 16.94, 35.86]","[454, 163, 345]",55
3969034,"['Religioso', 'Trastero']","[99.03, 0.97]","[820, 8]",55
3969035,"['Vivienda', 'Garaje Cerrado']","[79.09, 20.91]","[208, 55]",55
3969036,"['Trastero', 'Vivienda']","[77.41, 22.59]","[538, 157]",55
3969037,"['Vivienda', 'Garaje Cerrado', 'Almacen']","[70.54, 15.77, 13.69]","[170, 38, 33]",55
3969038,"['Vivienda', 'Trastero', 'Almacen', 'Garaje Cerrado']","[46.98, 30.33, 16.42, 6.27]","[412, 266, 144, 55]",55
3969039,"['Trastero', 'Vivienda', 'Garaje Cerrado']","[73.76, 23.23, 3.01]","[416, 131, 17]",55
3969040,"['Hosteleria', 'Vivienda', 'Trastero']","[12.36, 23.34, 64.3]","[54, 102, 281]",55
3969041,['Jardin'],[100.0],[5622],55
3969042,"['Vivienda', 'Almacen', 'Garaje Cerrado']","[64.43, 16.11, 19.46]","[192, 48, 58]",55
3969043,"['Garaje Cerrado', 'Vivienda']","[20.47, 79.53]","[44, 171]",55
3969044,"['Vivienda', 'Garaje Cerrado']","[79.53, 20.47]","[171, 44]",55
3969045,"['Vivienda', 'Garaje Cerrado']","[79.84, 20.16]","[194, 49]",55
3969046,"['Vivienda', 'Garaje Cerrado']","[81.25, 18.75]","[195, 45]",55
3969047,['Jardin'],[100.0],[1026],55
3969048,['Solar'],[100.0],[1566],55
3969049,['Solar'],[100.0],[1105],55
3969050,['Solar'],[100.0],[228],55
3969051,['Solar'],[100.0],[1172],55
3969052,['Solar'],[100.0],[8731],55
3969053,['Almacen'],[100.0],[50],55
3970001,"['Vivienda', 'Garaje Cerrado', 'Trastero']","[55.13, 11.3, 33.57]","[317, 65, 193]",55
3970002,"['Agropecuario', 'Vivienda']","[74.41, 25.59]","[378, 130]",55
4063001,"['Vivienda', 'Agropecuario', 'Trastero']","[59.51, 33.71, 6.78]","[676, 383, 77]",13
4063002,"['Vivienda', 'Garaje Cerrado']","[88.26, 11.74]","[376, 50]",13
4063003,"['Vivienda', 'Agropecuario']","[33.33, 66.67]","[110, 220]",13
4063004,"['Vivienda', 'Garaje Cerrado', 'Agropecuario']","[20.88, 3.66, 75.46]","[114, 20, 412]",13
4063005,"['Vivienda', 'Agropecuario']","[39.74, 60.26]","[240, 364]",13
4063006,"['Vivienda', 'Agropecuario']","[62.42, 37.58]","[196, 118]",13
4063007,['Religioso'],[100.0],[350],13
4063008,"['Vivienda', 'Agropecuario']","[79.73, 20.27]","[177, 45]",13
4063009,"['Vivienda', 'Agropecuario']","[22.31, 77.69]","[236, 822]",13
4063010,"['Vivienda', 'Garaje Cerrado', 'Trastero', 'Duplex']","[27.54, 26.07, 19.67, 26.72]","[168, 159, 120, 163]",13
4063011,"['Vivienda', 'Garaje Cerrado', 'Agropecuario']","[22.61, 5.8, 71.59]","[78, 20, 247]",13
4063012,"['Vivienda', 'Trastero', 'Agropecuario']","[42.63, 32.8, 24.57]","[295, 227, 170]",13
4063013,"['Vivienda', 'Agropecuario', 'Garaje Cerrado', 'Trastero']","[46.28, 45.27, 4.22, 4.22]","[274, 268, 25, 25]",13
4063018,['Agropecuario'],[100.0],[240],13
4063019,['Agropecuario'],[100.0],[513],13
4063021,['Agropecuario'],[100.0],[575],13
4064001,['Industrial'],[100.0],[789],13
4064002,"['Vivienda', 'Trastero', 'Local Comercial']","[68.65, 13.2, 18.15]","[624, 120, 165]",13
4064003,"['Vivienda', 'Terraza', 'Trastero', 'Garaje Cerrado', 'Jardin']","[17.47, 5.44, 11.16, 5.44, 60.48]","[260, 81, 166, 81, 900]",13
4064004,['Vivienda'],[100.0],[46],13
4064005,"['Garaje Cerrado', 'Vivienda', 'Trastero', 'Local Comercial']","[15.84, 72.14, 9.25, 2.77]","[137, 624, 80, 24]",13
4064006,"['Trastero', 'Vivienda']","[23.12, 76.87]","[148, 492]",13
4064007,"['Local Comercial', 'Vivienda', 'Trastero', 'Garaje Cerrado']","[9.62, 71.15, 9.62, 9.62]","[80, 592, 80, 80]",13
4064008,"['Vivienda', 'Trastero', 'Local Comercial']","[65.68, 16.84, 17.47]","[624, 160, 166]",13
4064009,"['Vivienda', 'Trastero', 'Local Comercial']","[71.46, 9.28, 19.26]","[616, 80, 166]",13
4064010,"['Local Comercial', 'Vivienda', 'Trastero']","[19.33, 71.07, 9.6]","[161, 592, 80]",13
4064011,"['Vivienda', 'Trastero', 'Local Comercial']","[71.41, 9.65, 18.94]","[592, 80, 157]",13
4064012,['Solar'],[100.0],[81],13
4064013,['Trastero'],[100.0],[34],13
4064014,['Industrial'],[100.0],[709],13
4064015,"['Vivienda', 'Trastero', 'Local Comercial']","[71.89, 9.22, 18.89]","[624, 80, 164]",13
4064016,['Vivienda'],[100.0],[105],13
4064017,"['Vivienda', 'Trastero', 'Almacen']","[65.39, 16.99, 17.62]","[616, 160, 166]",13
4064018,"['Garaje Cerrado', 'Vivienda', 'Terraza', 'Trastero']","[17.22, 51.66, 13.9, 17.22]","[109, 327, 88, 109]",13
