Poblacion ORIGEN,Poblacion DESTINO,Desplazamientos,Lat_origen,Long_origen,Lat_destino,Long_destino
Beasain,Azpeitia,412,43.0732613951147,-2.2179073142,43.1624073640789,-2.2517858723
Beasain,Bergara,210,43.0732613951147,-2.2179073142,43.1220053801849,-2.4148383635
Beasain,Donostia/San Sebastián,1004,43.0732613951147,-2.2179073142,43.2918111063554,-1.9885133578
Beasain,Eibar,471,43.0732613951147,-2.2179073142,43.1997782323138,-2.4616488769
Beasain,Hernani,439,43.0732613951147,-2.2179073142,43.2387833429893,-1.9442591545
Beasain,Lazkao,896,43.0732613951147,-2.2179073142,43.0194888194631,-2.1671234871
Beasain,Legazpi,355,43.0732613951147,-2.2179073142,43.0307535874133,-2.3423674188
Beasain,Ordizia,1187,43.0732613951147,-2.2179073142,43.0637579709383,-2.1818318125
Beasain,Tolosa,794,43.0732613951147,-2.2179073142,43.1077539093613,-2.0800512827
Beasain,Zumarraga,1025,43.0732613951147,-2.2179073142,43.1030792391374,-2.3156108273
Bergara,Arrasate/Mondragón,2272,43.1220053801849,-2.4148383635,43.0745226631642,-2.4841486565
Bergara,Azkoitia,232,43.1220053801849,-2.4148383635,43.1706487685027,-2.3309631204
Bergara,Beasain,210,43.1220053801849,-2.4148383635,43.0732613951147,-2.2179073142
Bergara,Eibar,1086,43.1220053801849,-2.4148383635,43.1997782323138,-2.4616488769
Bergara,Irun,258,43.1220053801849,-2.4148383635,43.318640571622,-1.77372589148
Bergara,Mutriku,141,43.1220053801849,-2.4148383635,43.3016874985659,-2.3847547875
Bergara,Ordizia,120,43.1220053801849,-2.4148383635,43.0637579709383,-2.1818318125
Bergara,Orio,305,43.1220053801849,-2.4148383635,43.2774552762092,-2.1270561218
Bergara,Oñati,250,43.1220053801849,-2.4148383635,43.0178261678898,-2.4067931275
Bergara,Zarautz,467,43.1220053801849,-2.4148383635,43.280963309723,-2.16722426204
Bergara,Zumarraga,206,43.1220053801849,-2.4148383635,43.1030792391374,-2.3156108273
Deba,Arrasate/Mondragón,293,43.2945746872118,-2.3538208007,43.0745226631642,-2.4841486565
Deba,Donostia/San Sebastián,927,43.2945746872118,-2.3538208007,43.2918111063554,-1.9885133578
Deba,Eibar,734,43.2945746872118,-2.3538208007,43.1997782323138,-2.4616488769
Deba,Mutriku,189,43.2945746872118,-2.3538208007,43.3016874985659,-2.3847547875
Deba,Zumaia,195,43.2945746872118,-2.3538208007,43.2876451846902,-2.2461133898
Donostia/San Sebastián,Andoain,2370,43.2918111063554,-1.9885133578,43.2194140168093,-2.0209083686
Donostia/San Sebastián,Arrasate/Mondragón,1089,43.2918111063554,-1.9885133578,43.0745226631642,-2.4841486565
Donostia/San Sebastián,Astigarraga,5407,43.2918111063554,-1.9885133578,43.2797569478888,-1.9334342263
Donostia/San Sebastián,Azkoitia,688,43.2918111063554,-1.9885133578,43.1706487685027,-2.3309631204
Donostia/San Sebastián,Azpeitia,658,43.2918111063554,-1.9885133578,43.1624073640789,-2.2517858723
Donostia/San Sebastián,Beasain,483,43.2918111063554,-1.9885133578,43.0732613951147,-2.2179073142
Donostia/San Sebastián,Eibar,1258,43.2918111063554,-1.9885133578,43.1997782323138,-2.4616488769
Donostia/San Sebastián,Errenteria,18170,43.2918111063554,-1.9885133578,43.2553049551337,-1.8928623455
Donostia/San Sebastián,Hernani,7895,43.2918111063554,-1.9885133578,43.2387833429893,-1.9442591545
Donostia/San Sebastián,Hondarribia,3471,43.2918111063554,-1.9885133578,43.3748851848767,-1.8239709632
Donostia/San Sebastián,Irun,6857,43.2918111063554,-1.9885133578,43.318640571622,-1.77372589148
Donostia/San Sebastián,Lazkao,373,43.2918111063554,-1.9885133578,43.0194888194631,-2.1671234871
Donostia/San Sebastián,Lezo,1292,43.2918111063554,-1.9885133578,43.3263415090448,-1.885769548
Donostia/San Sebastián,Ordizia,1263,43.2918111063554,-1.9885133578,43.0637579709383,-2.1818318125
Donostia/San Sebastián,Orio,729,43.2918111063554,-1.9885133578,43.2774552762092,-2.1270561218
Donostia/San Sebastián,Oñati,1251,43.2918111063554,-1.9885133578,43.0178261678898,-2.4067931275
Donostia/San Sebastián,Pasaia,7658,43.2918111063554,-1.9885133578,43.318996,-1.969857
