id_int,id,x,y,net_type
69,11514_renfe_cercanias_61T0001C1_renfe_cercanias,-1.917946,43.320009,
70,11522_renfe_cercanias_61T0001C1_renfe_cercanias,-1.952632,43.32068,
71,11513_renfe_cercanias_61T0001C1_renfe_cercanias,-1.967016,43.321814,
72,11512_renfe_cercanias_61T0001C1_renfe_cercanias,-1.972632,43.322077,
73,11510_renfe_cercanias_61T0001C1_renfe_cercanias,-1.964289,43.304772,
74,11509_renfe_cercanias_61T0001C1_renfe_cercanias,-1.956981,43.29442,
75,11508_renfe_cercanias_61T0001C1_renfe_cercanias,-1.964175,43.272283,
76,11506_renfe_cercanias_61T0001C1_renfe_cercanias,-1.991492,43.243416,
77,11505_renfe_cercanias_61T0001C1_renfe_cercanias,-2.016357,43.221715,
78,11502_renfe_cercanias_61T0001C1_renfe_cercanias,-2.071624,43.165233,
79,11501_renfe_cercanias_61T0001C1_renfe_cercanias,-2.078512,43.13597,
80,11409_renfe_cercanias_61T0001C1_renfe_cercanias,-2.099346,43.10214,
81,11408_renfe_cercanias_61T0001C1_renfe_cercanias,-2.126252,43.094977,
82,11407_renfe_cercanias_61T0001C1_renfe_cercanias,-2.14555,43.085187,
83,11406_renfe_cercanias_61T0001C1_renfe_cercanias,-2.162736,43.068955,
84,11402_renfe_cercanias_61T0001C1_renfe_cercanias,-2.255831,43.040151,
85,11514_renfe_cercanias_61T0002C1_renfe_cercanias,-1.917946,43.320009,
86,11515_renfe_cercanias_61T0002C1_renfe_cercanias,-1.904324,43.318764,
87,11516_renfe_cercanias_61T0002C1_renfe_cercanias,-1.895015,43.313544,
88,11518_renfe_cercanias_61T0002C1_renfe_cercanias,-1.816203,43.331008,
89,11305_renfe_cercanias_61T0002C1_renfe_cercanias,-2.334469,43.019887,
90,11306_renfe_cercanias_61T0002C1_renfe_cercanias,-2.329396,43.052263,
91,11400_renfe_cercanias_61T0002C1_renfe_cercanias,-2.318462,43.088273,
92,11402_renfe_cercanias_61T0002C1_renfe_cercanias,-2.255831,43.040151,
93,11404_renfe_cercanias_61T0002C1_renfe_cercanias,-2.203234,43.046174,
94,11405_renfe_cercanias_61T0002C1_renfe_cercanias,-2.181019,43.052583,
95,11406_renfe_cercanias_61T0002C1_renfe_cercanias,-2.162736,43.068955,
96,11407_renfe_cercanias_61T0002C1_renfe_cercanias,-2.14555,43.085187,
97,11408_renfe_cercanias_61T0002C1_renfe_cercanias,-2.126252,43.094977,
98,11409_renfe_cercanias_61T0002C1_renfe_cercanias,-2.099346,43.10214,
99,11500_renfe_cercanias_61T0002C1_renfe_cercanias,-2.085247,43.131936,
100,11501_renfe_cercanias_61T0002C1_renfe_cercanias,-2.078512,43.13597,
101,11502_renfe_cercanias_61T0002C1_renfe_cercanias,-2.071624,43.165233,
102,11503_renfe_cercanias_61T0002C1_renfe_cercanias,-2.055641,43.189391,
103,11504_renfe_cercanias_61T0002C1_renfe_cercanias,-2.020394,43.214729,
104,11505_renfe_cercanias_61T0002C1_renfe_cercanias,-2.016357,43.221715,
105,11506_renfe_cercanias_61T0002C1_renfe_cercanias,-1.991492,43.243416,
106,11507_renfe_cercanias_61T0002C1_renfe_cercanias,-1.975726,43.261977,
107,11508_renfe_cercanias_61T0002C1_renfe_cercanias,-1.964175,43.272283,
108,11509_renfe_cercanias_61T0002C1_renfe_cercanias,-1.956981,43.29442,
109,11510_renfe_cercanias_61T0002C1_renfe_cercanias,-1.964289,43.304772,
110,11511_renfe_cercanias_61T0002C1_renfe_cercanias,-1.976704,43.317669,
111,11512_renfe_cercanias_61T0002C1_renfe_cercanias,-1.972632,43.322077,
112,11513_renfe_cercanias_61T0002C1_renfe_cercanias,-1.967016,43.321814,
113,11522_renfe_cercanias_61T0002C1_renfe_cercanias,-1.952632,43.32068,
114,11600_renfe_cercanias_61T0001C1_renfe_cercanias,-1.800192,43.339582,
115,11518_renfe_cercanias_61T0001C1_renfe_cercanias,-1.816203,43.331008,
116,ES:Euskotren:Quay:26562:_euskotren_trena_ES:Euskotren:Line:11:_euskotren_trena,-2.47457,43.184564,
117,ES:Euskotren:Quay:26351:_euskotren_trena_ES:Euskotren:Line:11:_euskotren_trena,-2.479785,43.184872,
118,ES:Euskotren:Quay:25942:_euskotren_trena_ES:Euskotren:Line:11:_euskotren_trena,-2.487442,43.180662,
119,ES:Euskotren:Quay:26271:_euskotren_trena_ES:Euskotren:Line:11:_euskotren_trena,-2.495881,43.179394,
120,ES:Euskotren:Quay:26661:_euskotren_trena_ES:Euskotren:Line:11:_euskotren_trena,-2.501242,43.184656,
121,ES:Euskotren:Quay:26192:_euskotren_trena_ES:Euskotren:Line:11:_euskotren_trena,-2.465858,43.187065,
