fare_id,route_id,origin_id,destination_id,contains_id
Ocasional_1.9,46,2,5,
Ocasional_1.9,46,2,1,
Ocasional_1.9,46,5,2,
Ocasional_1.9,46,1,3,
Ocasional_1.9,46,1,2,
Ocasional_1.9,14,8,4,
Ocasional_1.9,14,8,3,
Ocasional_1.9,14,4,8,
Ocasional_1.9,14,4,3,
Ocasional_1.9,14,4,2,
Ocasional_1.9,14,3,8,
Ocasional_1.9,14,3,4,
Ocasional_1.9,14,3,1,
Ocasional_1.9,14,2,4,
Ocasional_1.9,14,2,5,
Ocasional_1.9,14,2,1,
Ocasional_1.9,14,5,2,
Ocasional_1.9,14,1,3,
Ocasional_1.9,14,1,2,
Ocasional_1.9,15,8,4,
Ocasional_1.9,15,8,3,
Ocasional_1.9,15,4,8,
Ocasional_1.9,15,4,3,
Ocasional_1.9,15,4,2,
Ocasional_1.9,15,3,8,
Ocasional_1.9,15,3,4,
Ocasional_1.9,15,3,1,
Ocasional_1.9,15,2,4,
Ocasional_1.9,15,2,5,
Ocasional_1.9,15,2,1,
Ocasional_1.9,15,5,2,
Ocasional_1.9,15,1,3,
Ocasional_1.9,15,1,2,
Ocasional_1.9,16,8,4,
Ocasional_1.9,16,8,3,
Ocasional_1.9,16,4,8,
Ocasional_1.9,16,4,3,
Ocasional_1.9,16,4,2,
Ocasional_1.9,16,3,8,
Ocasional_1.9,16,3,4,
Ocasional_1.9,16,3,1,
Ocasional_1.9,16,2,4,
Ocasional_1.9,16,2,5,
Ocasional_1.9,16,2,1,
Ocasional_1.9,16,5,2,
Ocasional_1.9,16,1,3,
Ocasional_1.9,16,1,2,
Ocasional_1.9,41,8,4,
Ocasional_1.9,41,8,3,
Ocasional_1.9,41,4,8,
Ocasional_1.9,41,4,3,
Ocasional_1.9,41,4,2,
Ocasional_1.9,41,3,8,
Ocasional_1.9,41,3,4,
Ocasional_1.9,41,3,1,
Ocasional_1.9,41,2,4,
Ocasional_1.9,41,2,5,
Ocasional_1.9,41,2,1,
Ocasional_1.9,41,5,2,
Ocasional_1.9,41,1,3,
Ocasional_1.9,41,1,2,
Ocasional_3.8,11,4,1,
Ocasional_3.8,11,1,4,
Ocasional_3.8,12,4,1,
Ocasional_3.8,12,1,4,
Ocasional_3.8,45,4,1,
Ocasional_3.8,45,1,4,
Ocasional_3.8,13,4,1,
Ocasional_3.8,13,1,4,
Ocasional_3.8,46,4,1,
Ocasional_3.8,46,1,4,
Ocasional_3.8,14,4,1,
Ocasional_3.8,14,1,4,
Ocasional_3.8,15,4,1,
Ocasional_3.8,15,1,4,
Ocasional_3.8,16,4,1,
Ocasional_3.8,16,1,4,
Ocasional_3.8,41,4,1,
Ocasional_3.8,41,1,4,
Ocasional_1.35,11,8,8,
Ocasional_1.35,11,4,4,
Ocasional_1.35,11,3,3,
Ocasional_1.35,11,2,2,
Ocasional_1.35,11,5,5,
Ocasional_1.35,11,1,1,
Ocasional_1.35,12,8,8,
Ocasional_1.35,12,4,4,
Ocasional_1.35,12,3,3,
Ocasional_1.35,12,2,2,
Ocasional_1.35,12,5,5,
Ocasional_1.35,12,1,1,
Ocasional_1.35,45,8,8,
Ocasional_1.35,45,4,4,
Ocasional_1.35,45,3,3,
Ocasional_1.35,45,2,2,
Ocasional_1.35,45,5,5,
Ocasional_1.35,45,1,1,
Ocasional_1.35,13,8,8,
Ocasional_1.35,13,4,4,
Ocasional_1.35,13,3,3,
Ocasional_1.35,13,2,2,
Ocasional_1.35,13,5,5,
Ocasional_1.35,13,1,1,
Ocasional_1.35,46,8,8,
Ocasional_1.35,46,4,4,
Ocasional_1.35,46,3,3,
Ocasional_1.35,46,2,2,
Ocasional_1.35,46,5,5,
Ocasional_1.35,46,1,1,
Ocasional_1.35,14,8,8,
Ocasional_1.35,14,4,4,
Ocasional_1.35,14,3,3,
Ocasional_1.35,14,2,2,
Ocasional_1.35,14,5,5,
Ocasional_1.35,14,1,1,
Ocasional_1.35,15,8,8,
Ocasional_1.35,15,4,4,
Ocasional_1.35,15,3,3,
Ocasional_1.35,15,2,2,
Ocasional_1.35,15,5,5,
Ocasional_1.35,15,1,1,
Ocasional_1.35,16,8,8,
Ocasional_1.35,16,4,4,
Ocasional_1.35,16,3,3,
Ocasional_1.35,16,2,2,
Ocasional_1.35,16,5,5,
Ocasional_1.35,16,1,1,
Ocasional_1.35,41,8,8,
Ocasional_1.35,41,4,4,
Ocasional_1.35,41,3,3,
Ocasional_1.35,41,2,2,
Ocasional_1.35,41,5,5,
Ocasional_1.35,41,1,1,
