stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type
4054,,Foru Kalea- Arroka,43.37466534458717,-1.7968452535453134,9,0
1297,,Foru Kalea 3,43.372089193510035,-1.794193041302936,9,0
54,,Itsasargi 3,43.36938313318543,-1.7937406118130443,9,0
55,,Bernat Etxepare Kalea - Correos,43.36598715590715,-1.7927588543336073,9,0
56,,Sabin Arana Kalea,43.361888591000096,-1.7900510562569336,9,0
4058,,Minasoroeta-zumardia,43.36135209413691,-1.7921103188002776,9,0
4730,,Santa Engrazia 8,43.360431806582014,-1.7953495204220458,9,0
4137,,Kosta Kalea 17,43.35577779994742,-1.7980329666235397,9,0
4060,,Kosta Kalea 49,43.35296812687906,-1.7980020521829405,9,0
105,,Mendelu Kalea 2,43.34724073301742,-1.801372347815383,9,0
91,,Hondarribia K. 25 - Gurutze Gorria,43.34327992379678,-1.7997600776593217,9,0
106,,Zubiaurre Kalea 5,43.34175947889074,-1.7990251411444105,9,0
1483,,Colon Pas. 43,43.34079612006727,-1.7964657426126627,9,0
90,,Gipuzkoa Hirib. 6,43.339759355191596,-1.79463573656336,9,0
6156,,Euskal Herria Etorbidea Dir. Larreaundi,43.33412188879558,-1.7937110816495712,9,0
345,,Larreaundi,43.3334470173643,-1.7894934318087545,9,0
7074,,Urdanibia Plaza,43.33706619044373,-1.7860414551961334,9,0
31,,Kaputxinoak,43.317445684931535,-1.9112575141052248,1,0
216,,Nafarroa Hirib. 75,43.31482332657109,-1.9025612567844887,1,0
34,,Gamon Zumardia,43.3125788151596,-1.8966950482658063,1,0
37,,Nafarroa Hiribidea,43.31050846873573,-1.8893217590550975,1,0
112,,Lartzabal,43.31043117707392,-1.8841566149150146,1,0
38,,Lintzirin Pol,43.31446931238539,-1.8753890245763996,1,0
83,,Lanbarren Pol.,43.319598934212834,-1.8677962325100126,1,0
42,,Gaintxurizketa Gaina,43.330104410858155,-1.848593394470022,9,0
43,,Letxumborro 59,43.33003435883044,-1.8231360498424896,9,0
4072,,Aldabe Mendia K.13,43.33963041113059,-1.8107004895021597,9,0
4068,,Zubieta 16 - Gibeleta,43.3442262000623,-1.804997203601022,9,0
4725,,Madalengain,43.36808032758142,-1.7957165206118557,9,0
4729,,Sokoa,43.37183715658712,-1.7967653976258329,9,0
58,,N-638 - Amute,43.351325085194475,-1.798454006526927,9,0
89,,Elizatxo Hirib. 14 - La Salle,43.335294790554826,-1.799066218402816,9,0
5978,,Elizatxo Hiribidea 36 - Oinaurre,43.33272396631652,-1.8055064981458133,9,0
