shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shp_1_0151,43.062520000000006,-2.50416,111
shp_1_0151,43.062520000000006,-2.50414,112
shp_1_0151,43.06232000000001,-2.50401,113
shp_1_0151,43.06222,-2.50394,114
shp_1_0151,43.062020000000004,-2.50382,115
shp_1_0151,43.062020000000004,-2.5038300000000002,116
shp_1_0151,43.06201,-2.5038400000000003,117
shp_1_0151,43.062000000000005,-2.5038500000000004,118
shp_1_0151,43.062000000000005,-2.5038600000000004,119
shp_1_0151,43.06199,-2.5038600000000004,120
shp_1_0151,43.061980000000005,-2.50387,121
shp_1_0151,43.06197,-2.50388,122
shp_1_0151,43.06195,-2.50389,123
shp_1_0151,43.06194000000001,-2.50389,124
shp_1_0151,43.061930000000004,-2.50389,125
shp_1_0151,43.06192,-2.5039000000000002,126
